Det_time,Des_time,Match_points
,,
0.146481,0.117173,0
0.114223,0.0804709,82
0.116196,0.094133,81
0.122527,0.092883,85
0.11841,0.0953752,93
0.111578,0.0861274,90
0.116004,0.0845675,81
0.108386,0.0926546,82
0.118262,0.0856837,102
0.113891,0.0846977,104
